Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la infromación facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
20/03/2024;Hombre;España;Madrid;Residente;Residente;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;9;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;9;10;+65;;Residente;10;9;10;10;PIT de CentroCentro;Residente;10;9
20/03/2024;Hombre;Polonia;;Sólo;3 noches;;8;esmadrid;8;8;;Los ha encontrado en su recorrido;;8;8;8;8;8;7;7;8;8;Sí;NS/NC;NS/NC;8;;8;Internet/web (Indicar páginas);5;8;25-44;;Familia;8;8;NS/NC;7;PIT del Aeropuerto T-2;Avión;8;NS/NC
20/03/2024;Mujer;Reino Unido;;En pareja;De 4 a 7 noches;;10;turismo;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;9;9;10;;10;Internet/web (Indicar páginas);9;10;45-64;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Avión;10;NS/NC
20/03/2024;Mujer;España;Madrid;Sólo;Residente;;1;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;6;8;4;Sí;1;4;10;;10;No ha buscado información;4;10;45-64;;Residente;10;10;1;4;PIT del Aeropuerto T-4;Residente;10;6
20/03/2024;Mujer;España;Madrid;Sólo;Residente;;7;;10;10;;Los ha encontrado en su recorrido;;8;10;10;10;8;8;10;10;9;No;10;9;9;;9;No ha buscado información;2;9;45-64;;Residente;10;9;9;8;PIT Palacio Real;Residente;10;9
20/03/2024;Mujer;Argentina;;En pareja;3 noches;;6;redes sociales;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;9;9;6;10;10;9;10;Sí;10;10;9;;9;Internet/web (Indicar páginas);2;9;25-44;;Compras;7;9;10;10;Centro de Turismo de la Plaza Mayor;Avión;6;10
20/03/2024;Mujer;Grecia;;Con amigos;De 4 a 7 noches;;8;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;8;10
20/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;6;10;+65;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
20/03/2024;Hombre;España;Madrid;Residente;Residente;;5;;10;10;;Los había visto anteriormente;;10;10;10;10;5;5;10;9;10;Sí;NS/NC;NS/NC;10;;NS/NC;No ha buscado información;1;10;45-64;;Residente;10;10;NS/NC;10;PIT Palacio Real;Residente;NS/NC;10
20/03/2024;Hombre;España;Madrid;Residente;Residente;;6;;10;10;;Los había visto anteriormente;;10;10;10;10;10;9;10;10;10;Sí;NS/NC;8;10;;9;No ha buscado información;1;10;45-64;;Residente;10;10;NS/NC;10;PIT del Paseo del Prado;Residente;10;NS/NC
20/03/2024;Hombre;España;Barcelona;En familia;2 noches;;8;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;8;8;8;10;10;Sí;8;8;10;;10;No ha buscado información;2;10;25-44;;Ocio, recreo y vacaciones;10;10;8;9;PIT Palacio Real;Tren;10;8
20/03/2024;Mujer;México;;En pareja;De 4 a 7 noches;;10;amigos;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Otros (Indicar);10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Avión;10;10
20/03/2024;Hombre;España;Madrid;Residente;Residente;;8;;10;10;;Los había visto anteriormente;;10;10;10;10;10;9;10;10;10;Sí;NS/NC;9;10;;9;No ha buscado información;1;10;45-64;;Residente;10;9;NS/NC;10;PIT del Paseo del Prado;Residente;10;NS/NC
20/03/2024;Hombre;Italia;;En pareja;De 4 a 7 noches;;3;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;7;8;8;8;8;Sí;8;7;8;;8;Guías turísticas publicadas sobre la ciudad;7;2;+65;;Ocio, recreo y vacaciones;9;8;8;8;Centro de Turismo de la Plaza Mayor;Avión;8;8
20/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
20/03/2024;Hombre;España;Vizcaya;Con amigos;Excursionista;;5;;7;NS/NC;;Los ha encontrado en su recorrido;;8;8;10;10;7;6;7;7;5;Sí;1;4;8;;8;No ha buscado información;5;8;25-44;;Tránsito;8;8;1;5;PIT del Aeropuerto T-4;Avión;8;5
20/03/2024;Mujer;España;Madrid;Residente;Residente;;9;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;NS/NC;No ha buscado información;10;10;+65;;Residente;10;10;10;10;PIT Palacio Real;Residente;10;10
20/03/2024;Mujer;España;Navarra;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;8;8;8;8;8;8;8;10;10;Sí;9;8;10;;10;No ha buscado información;5;10;45-64;;Ocio, recreo y vacaciones;8;10;8;8;PIT Palacio Real;Tren;10;8
20/03/2024;Mujer;España;Barcelona;En pareja;De 4 a 7 noches;;9;;10;9;;Los ha encontrado en su recorrido;;8;8;9;9;9;10;10;10;9;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Ocio, recreo y vacaciones;9;10;10;9;PIT Palacio Real;Tren;9;10
20/03/2024;Mujer;Bulgaria;;Con amigos;3 noches;;3;;8;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;8;8;8;Sí;8;7;8;;8;No ha buscado información;7;9;25-44;;Ocio, recreo y vacaciones;9;8;7;8;Centro de Turismo de la Plaza Mayor;Avión;9;7
20/03/2024;Mujer;Francia;;Sólo;De 4 a 7 noches;;9;redes sociales;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;10;10;;10;Internet/web (Indicar páginas);2;10;15-24;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Avión;10;NS/NC
20/03/2024;Hombre;Estados Unidos;;Con amigos;De 1 a 2 semanas;;6;;8;NS/NC;;Los ha encontrado en su recorrido;;9;10;10;10;7;7;6;7;4;Sí;3;6;7;;7;No ha buscado información;5;7;45-64;;Ocio, recreo y vacaciones;10;6;3;5;PIT del Aeropuerto T-4;Avión;10;3
20/03/2024;Mujer;España;Madrid;Residente;Residente;;5;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;5;5;10;7;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;5;10;+65;;Residente;10;10;NS/NC;10;PIT Cuesta de Moyano;Residente;NS/NC;10
20/03/2024;Mujer;España;Orense;En familia;2 noches;;3;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;9;10;10;9;8;8;8;8;8;Sí;8;7;8;;8;No ha buscado información;7;8;+65;;Ocio, recreo y vacaciones;10;8;8;8;Centro de Turismo de la Plaza Mayor;Coche particular;8;8
20/03/2024;Mujer;España;Santa Cruz de Tenerife;En pareja;De 4 a 7 noches;;9;BLOGS;9;9;;Los ha encontrado en su recorrido;;9;9;9;9;9;8;8;8;9;Sí;NS/NC;NS/NC;9;;8;Internet/web (Indicar páginas);8;8;+65;;Ocio, recreo y vacaciones;9;8;NS/NC;8;PIT del Aeropuerto T-2;Avión;9;7
20/03/2024;Hombre;Argentina;;Sólo;De 4 a 7 noches;;7;;8;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;8;3;6;9;5;Sí;3;3;9;;8;No ha buscado información;3;9;25-44;;Ocio, recreo y vacaciones;10;8;4;3;PIT del Aeropuerto T-4;Avión;10;3
20/03/2024;Hombre;España;Guipúzcoa;En pareja;1 noche;;6;;NS/NC;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;NS/NC;8;10;10;Sí;NS/NC;10;9;;9;No ha buscado información;5;NS/NC;45-64;;Ocio, recreo y vacaciones;10;NS/NC;NS/NC;10;PIT del Paseo del Prado;Coche particular;10;NS/NC
20/03/2024;Mujer;España;Valencia;En familia;2 noches;;3;;NS/NC;NS/NC;;Los había visto anteriormente;;9;10;9;9;7;8;7;9;8;Sí;7;7;8;;8;No ha buscado información;6;10;45-64;;Ocio, recreo y vacaciones;9;8;7;8;Centro de Turismo de la Plaza Mayor;Tren;9;7
20/03/2024;Hombre;Australia;;En pareja;De 4 a 7 noches;;9;esmadrid;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);10;10;45-64;esmadrid;Ocio, recreo y vacaciones;10;10;9;10;Centro de Turismo de la Plaza Mayor;Avión;10;9
20/03/2024;Hombre;España;Soria;En pareja;2 noches;;8;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;NS/NC;10;10;10;Sí;NS/NC;9;10;;9;No ha buscado información;2;8;+65;;Ocio, recreo y vacaciones;10;NS/NC;NS/NC;9;PIT del Paseo del Prado;Autobús;10;9
20/03/2024;Hombre;España;Madrid;Sólo;Residente;;8;;8;9;;Los había visto anteriormente;;8;8;8;8;8;7;7;8;8;Sí;NS/NC;NS/NC;8;;8;No ha buscado información;7;8;45-64;;Residente;7;8;NS/NC;7;PIT del Aeropuerto T-2;Coche particular;8;7
20/03/2024;Mujer;España;Madrid;Residente;Residente;;3;;NS/NC;9;;Los había visto anteriormente;;9;10;9;9;7;8;8;9;8;Sí;8;8;9;;8;No ha buscado información;8;10;+65;;Residente;10;9;8;8;PIT de Callao;Residente;9;8
20/03/2024;Hombre;España;Madrid;Sólo;Residente;;8;;8;9;;Los había visto anteriormente;;9;8;8;9;9;7;8;9;8;Sí;NS/NC;NS/NC;8;;8;Correo postal o electrónico;7;9;25-44;;Residente;9;9;NS/NC;9;PIT del Aeropuerto T-2;Residente;8;8
20/03/2024;Mujer;España;Islas Baleares;Sólo;Excursionista;;5;;7;NS/NC;;Los había visto anteriormente;;10;10;10;10;6;3;5;7;4;Sí;4;4;7;;7;No ha buscado información;3;7;25-44;;Tránsito;10;7;4;3;PIT del Aeropuerto T-4;Avión;10;4
20/03/2024;Mujer;España;Burgos;Con amigos;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;8;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Autobús;10;9
20/03/2024;Hombre;España;Madrid;Residente;Residente;;8;;8;NS/NC;;Los había visto anteriormente;;9;9;8;8;9;9;9;9;8;Sí;NS/NC;NS/NC;9;;9;No ha buscado información;5;9;45-64;;Residente;9;9;NS/NC;8;PIT de Atocha;Residente;9;9
20/03/2024;Hombre;España;Murcia;En pareja;3 noches;;10;www.esmadrid.com;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;9;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Tren;10;10
20/03/2024;Mujer;España;Madrid;Residente;Residente;;8;;9;NS/NC;;Los había visto anteriormente;;9;9;9;9;9;8;9;9;7;Sí;NS/NC;NS/NC;9;;9;No ha buscado información;7;9;45-64;;Residente;9;9;NS/NC;8;PIT de Atocha;Residente;9;9
20/03/2024;Mujer;España;Cuenca;En familia;Excursionista;;8;;7;8;;Los ha encontrado en su recorrido;;8;8;8;8;8;8;9;8;8;Sí;8;8;8;;8;No ha buscado información;8;9;45-64;;Tránsito;8;8;8;8;PIT del Aeropuerto T-2;Avión;9;9
20/03/2024;Hombre;España;Barcelona;En pareja;2 noches;;7;blogs y RRSS;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;9;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);7;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Tren;9;9
20/03/2024;Mujer;España;Guipúzcoa;En pareja;2 noches;;7;Instagram y RRSS;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;9;7;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);8;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Coche particular;9;9
20/03/2024;Mujer;España;Madrid;Residente;Residente;;5;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;5;4;6;8;4;Sí;4;4;10;;10;No ha buscado información;6;10;45-64;;Residente;10;10;4;4;PIT del Aeropuerto T-4;Residente;10;4
20/03/2024;Mujer;España;Córdoba;En pareja;2 noches;;8;esmadrid.com;8;NS/NC;;Los había visto anteriormente;;10;8;8;8;8;5;10;9;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);6;9;25-44;;Ocio, recreo y vacaciones;8;9;NS/NC;10;PIT de Callao;Tren;8;9
20/03/2024;Hombre;Estados Unidos;;En familia;3 noches;;8;blogs;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;8;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);8;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Avión;9;9
20/03/2024;Hombre;México;;En familia;3 noches;;7;esmadrid;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;9;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);8;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Avión;9;8
20/03/2024;Hombre;España;Cantabria;En pareja;3 noches;;10;esmadrid.com;10;9;;Los ha encontrado en su recorrido;;9;NS/NC;9;9;10;8;10;9;10;Sí;NS/NC;NS/NC;9;;9;Guías turísticas publicadas sobre la ciudad;8;9;45-64;;Ocio, recreo y vacaciones;;9;NS/NC;8;PIT de CentroCentro;Coche particular;9;10
20/03/2024;Mujer;España;Madrid;En pareja;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Residente;10;10;10;10;PIT de CentroCentro;Residente;10;10
20/03/2024;Mujer;México;;Con amigos;De 4 a 7 noches;;10;facebook;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Avión;10;10
20/03/2024;Mujer;Francia;;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;9;9;10;10;10;9;9;NS/NC;10;Sí;9;9;10;;10;Guías turísticas publicadas sobre la ciudad;9;10;25-44;;Ocio, recreo y vacaciones;9;10;9;9;PIT de Callao;Avión;9;9
20/03/2024;Mujer;República Dominicana;;Sólo;De 1 a 2 semanas;;9;google;10;10;;Los ha encontrado en su recorrido;;9;10;10;10;10;10;10;10;9;Sí;10;10;10;;10;Internet/web (Indicar páginas);9;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de Callao;Avión;10;10
20/03/2024;Hombre;España;Madrid;Con amigos;Residente;;10;;9;10;;Otros;;10;10;9;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;25-44;caminando;Residente;10;9;9;10;PIT de Callao;Residente;10;10
20/03/2024;Hombre;Países Bajos;;En pareja;De 4 a 7 noches;;10;;8;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;NS/NC;;10;No ha buscado información;10;NS/NC;45-64;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
20/03/2024;Hombre;España;Toledo;En pareja;3 noches;;9;familiares;10;9;;Los ha encontrado en su recorrido;;10;9;9;10;9;7;10;9;10;Sí;10;10;9;;10;Otros (Indicar);10;9;45-64;;Familia;7;9;9;10;PIT de Callao;Coche particular;9;9
20/03/2024;Mujer;México;;En pareja;3 noches;;NS/NC;Tik tok;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;10;NS/NC;10;10;NS/NC;8;NS/NC;NS/NC;NS/NC;Sí;NS/NC;NS/NC;10;;10;Otros (Indicar);7;NS/NC;15-24;;Ocio, recreo y vacaciones;10;10;NS/NC;9;PIT de Callao;Avión;10;10
20/03/2024;Mujer;España;Madrid;Residente;Residente;;7;;NS/NC;NS/NC;;Los había visto anteriormente;;8;NS/NC;10;10;8;NS/NC;10;9;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;5;NS/NC;45-64;;Residente;10;10;NS/NC;10;PIT Palacio Real;Residente;NS/NC;NS/NC
20/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;10;4;;Los había visto anteriormente;;10;10;10;10;10;6;10;NS/NC;10;Sí;NS/NC;NS/NC;9;;10;No ha buscado información;7;NS/NC;25-44;;Residente;10;10;NS/NC;10;PIT Palacio Real;Residente;10;9
20/03/2024;Hombre;Brasil;;En familia;De 4 a 7 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;25-44;;Estudios;10;10;NS/NC;10;PIT Palacio Real;Avión;10;10
20/03/2024;Hombre;España;La Coruña;En pareja;3 noches;;9;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;9;10;10;10;10;10;Sí;8;9;NS/NC;;10;No ha buscado información;9;10;45-64;;Ocio, recreo y vacaciones;10;NS/NC;9;10;PIT del Aeropuerto T-4;Avión;10;7
20/03/2024;Mujer;México;;En pareja;De 1 a 2 semanas;;10;madrid;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;10;9;10;10;8;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);9;10;45-64;;Cultura;9;8;10;10;PIT de CentroCentro;Avión;8;10
20/03/2024;Mujer;España;Madrid;En pareja;Residente;;9;Google;8;NS/NC;;Los ha encontrado en su recorrido;;10;10;8;9;9;7;8;9;10;Sí;7;7;8;;7;Internet/web (Indicar páginas);6;8;25-44;;Ocio, recreo y vacaciones;10;8;7;9;PIT Cuesta de Moyano;Autobús;8;6
20/03/2024;Mujer;Francia;;En pareja;De 1 a 2 semanas;;8;madid;10;9;;Los había visto anteriormente;;8;8;10;9;10;9;9;9;8;Sí;9;9;9;;10;Internet/web (Indicar páginas);9;10;+65;;Cultura;10;9;9;8;PIT de CentroCentro;Coche particular;7;8
20/03/2024;Mujer;España;Madrid;Sólo;Residente;;8;;8;9;;Los había visto anteriormente;;9;9;8;8;8;7;7;7;9;Sí;7;5;10;;6;No ha buscado información;5;10;45-64;;Residente;8;10;7;8;PIT Cuesta de Moyano;Residente;9;7
20/03/2024;Mujer;España;Madrid;Sólo;Residente;;9;;9;7;;Tenía información previa de su ubicación;;10;10;10;10;9;8;9;10;10;Sí;8;9;10;;8;No ha buscado información;7;10;45-64;Ya los había visitado;Ocio, recreo y vacaciones;10;9;8;10;PIT Cuesta de Moyano;Tren;8;9
20/03/2024;Mujer;España;Barcelona;Con amigos;1 noche;;9;Google;10;9;;Los ha encontrado en su recorrido;;9;10;9;9;8;8;10;9;10;Sí;8;8;10;;10;Teléfono;7;10;45-64;;Ocio, recreo y vacaciones;10;10;8;9;PIT Cuesta de Moyano;Tren;8;7
20/03/2024;Hombre;España;Madrid;Sólo;Residente;;9;;9;9;;Los había visto anteriormente;;10;10;10;10;9;7;8;9;8;Sí;8;8;9;;9;No ha buscado información;1;9;25-44;;Residente;10;9;7;7;PIT de Estadio Santiago Bernabéu;Residente;10;8
20/03/2024;Mujer;Estados Unidos;;En familia;2 noches;;8;Google, Tripadvisor, social media;10;9;;Los ha encontrado en su recorrido;;9;8;9;9;9;8;8;9;9;Sí;8;9;8;;8;Teléfono;7;10;25-44;;Ocio, recreo y vacaciones;8;8;7;9;PIT Cuesta de Moyano;Tren;8;7
20/03/2024;Mujer;España;Tarragona;Sólo;De 4 a 7 noches;;8;;8;9;;Los había visto anteriormente;;9;9;9;9;8;10;9;9;8;Sí;9;9;9;;9;No ha buscado información;10;9;+65;;Ocio, recreo y vacaciones;9;9;9;7;PIT de Estadio Santiago Bernabéu;Tren;9;10
20/03/2024;Mujer;España;Madrid;Sólo;Residente;;6;;10;8;;Los ha encontrado en su recorrido;;10;10;8;8;8;10;8;8;10;Sí;8;8;8;;10;No ha buscado información;8;10;+65;;Residente;10;8;8;10;PIT Palacio Real;Residente;8;8
20/03/2024;Mujer;Argentina;;En pareja;De 2 semanas a 1 mes;;10;instagram;10;8;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Otros (Indicar);8;10;45-64;;Familia;10;10;10;10;PIT de Estadio Santiago Bernabéu;Avión;10;10
20/03/2024;Hombre;España;Madrid;En familia;Residente;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;9;10;10;10;9;10;10;10;10;Sí;NS/NC;NS/NC;9;;10;No ha buscado información;10;10;45-64;;Residente;10;NS/NC;NS/NC;9;PIT del Aeropuerto T-4;Residente;10;9
